"Title_1,BenennungTeil_1,Programmnummer_1,Laufzeit_1,Kommentar_1,Sachnummer_1,ZI_1,AI_1"
"37,MD I-TAFEL UNTEN LL A.F.,0093 Calibri,nan,Fuge HSK mit Calibri,nan,nan,nan"
"39,ZB TRAEGER I-TAFEL UNTEN FLHZG LL,0095_0095,8,Spritzteil; Kontur,9624605,O,10"
"41,ZB I-TAFEL UNTEN FLHZG LL A.F.,0096_0096,nan,Träger (Spritzteil) kaschiert,9624197,T,16"
"43,ZB TRAEGER I-TAFEL UNTEN LL,0099_0099,33,Analyse Positionen der Schweissdome,9621605,F,1"
"44,EINLEGER DECKEL HSK LL,0100_0100,nan,Spritzteil Einleger Deckel HSK,5A34240,L,5"
"46,EINLEGER DECKEL HSK FLHZG LL,0105_0105,nan,Spritzteil Einleger Deckel HSK mit Flächenheizung ,5A34244,F,5"
"48,ZB DECKEL KASCHIERT LL A.F.,0110_0110,2,Deckel HSK Aussen kaschiert,9870940,N,9"
"50,ZB DECKEL KASCHIERT FLHZG LL A.F.,0115_0115,nan,Deckel HSL Aussen Flächenheizung kaschiert,5A0E575,R,11"
"52,DECKEL HSK INNEN LL,0120_0120,nan,Deckel HSK Innen Spritzteil,9870943,M,9"
"54,MD DECKEL HSK BEFLOCKT LL A.F.,0130_0130,2,Deckel HSK Innen und Aussen kaschiert, verschweisst,9870496,S,13"
"56,MD DECKEL HSK BEFLOCKT FLHZG LL A.F.,0135_0135,2,Deckel HSK Innen und Aussen kaschiert Flächenheizung, verschweisst,5A0BD23,S,15"
"59,ZB TRAEGER I-TAFEL OBEN LL LCI,0300_0300,nan,Spritzteil,9643827,F,2"
"61,MD AIRBAGSCHUSSKANAL LL LCI,0305_0305,nan,Spitzteil,9639973,F,4"
"63,ZB TRAEGER I-TAFEL OBEN LL LCI,0310_0310,nan,OP1,MT40170,C,-"
"65,ZB TRAEGER I-TAFEL OBEN LL LCI,0315_0315,nan,kaschiert,MT40173,A,nan"
"67,MD WARMLUFTKANAL LL LCI,0320_0320,nan,Spritzteil,5A8BBD7,J,4"
"69,MD I-TAFEL OBEN LL LCI A.F.,0325_0325,nan,OP2,MT40171,A,-"
"71,MD I-TAFEL OBEN PVC LL LCI A.F.,0330_0330,nan,Auslieferteil,MT40172,A,-"
"73,MD TRAGSTRUKTUR BFS LL LCI,0335_0335,nan,Spitzteil,9639963,H,2"
"75,ZB TRAEGER I-TAFEL UNTEN LL LCI,0340_0340,nan,Spitzteil,9643846,F,2"
"77,ZB  I-TAFEL UNTEN LL LCI,0345_0345,nan,kaschiert,MT40180,A,-"
"79,ZB I-TAFEL UNTEN LL LCI,0350_0350,nan,verschweisst mit Tragstruktur,MT40181,A,-"
"81,MD I-TAFEL UNTEN PVC LL LCI A.F.,0355_0355,nan,Auslieferteil,MT40182,B,nan"
"83,ZB TRAEGER I-TAFEL UNTEN FLHZG LL LCI,0360_0360,nan,Spritzteil,9643847,J,5"
"85,ZB TRAEGER I-TAFEL UNTEN FLHZG PVC LL LCI,0365_0365,nan,kaschiert,nan,nan,nan"
"87,ZB I-TAFEL UNTEN FLHZG LL LCI,0370_0370,nan,verschweisst,nan,nan,nan"
"89,MD I-TAFEL U.FLHZG PVC LL AG LCI A.F.,0375_0375,nan,Auslieferteil,nan,nan,nan"
"91,MD I-TAFEL KPL. LL LCI A.F.,0390_0390,nan,IT Oben und IT Unten zusammen auf der Messaufnahme montiert,nan,nan,nan"
"122,GEHAEUSE OT LI SP56 B,880_880,7,Geometrie + Wandstärke
Achtung: Ohne Messaufnahme / Sonderaufbau (s. Spannplan),2772492,C,nan"
"124,GEHAEUSE OT RE SP56 B,890_890,7,Geometrie + Wandstärke
Achtung: Ohne Messaufnahme / Sonderaufbau (s. Spannplan),2772493,C,nan"
"132,ZB TRAEGER I-TAFEL OBEN LL ,1070,10,OP1 Schweissung (ZB Traeger IT oben mit Airbagschusskanal) Analysemessprgramm,MT40092,nan,nan"
"192,SGW_G70_EINLEGER_IT_oben_LL,2000,nan,Airbagschwächung (SPIAS),3010833,X,X"
"193,SGW_Spias EINLEGER OBEN LL / G70 LCI LL,2001,nan,Spias - Bleche,3052186,X,X"
"194,SG-WZ_SCHUSSKANAL_LL,2010,nan,Netzschwert und Netzpositionierung,3010871,X,X"
