Unnamed: 0,Unnamed: 1,Unnamed: 2,Übersicht G70_71,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Serienprogramm,Unnamed: 9,Unnamed: 10,Unnamed: 11
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB TRAEGER I-TAFEL OBEN LL LCI,"R699
BM-S",0310_0310,,,OP1,MT40170,C,-
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB TRAEGER I-TAFEL OBEN LL LCI,,0315_0315,,,kaschiert,MT40173,A,
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,MD WARMLUFTKANAL LL LCI,,0320_0320,,,Spritzteil,5A8BBD7,J,4
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,MD I-TAFEL OBEN LL LCI A.F.,,0325_0325,,,OP2,MT40171,A,-
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,MD I-TAFEL OBEN PVC LL LCI A.F.,,0330_0330,,,Auslieferteil,MT40172,A,-
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,MD TRAGSTRUKTUR BFS LL LCI,BM-F,0335_0335,,,Spitzteil,9639963,H,2
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB TRAEGER I-TAFEL UNTEN LL LCI,BM-F,0340_0340,,,Spitzteil,9643846,F,2
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB  I-TAFEL UNTEN LL LCI,,0345_0345,,,kaschiert,MT40180,A,-
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB I-TAFEL UNTEN LL LCI,,0350_0350,,,verschweisst mit Tragstruktur,MT40181,A,-
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,MD I-TAFEL UNTEN PVC LL LCI A.F.,BM-S F,0355_0355,,,Auslieferteil,MT40182,B,
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB TRAEGER I-TAFEL UNTEN FLHZG LL LCI,,0360_0360,,,Spritzteil,9643847,J,5
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB TRAEGER I-TAFEL UNTEN FLHZG PVC LL LCI,,0365_0365,,,kaschiert,,,
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB I-TAFEL UNTEN FLHZG LL LCI,,0370_0370,,,verschweisst,,,
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,MD I-TAFEL U.FLHZG PVC LL AG LCI A.F.,,0375_0375,,,Auslieferteil,,,
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,MD I-TAFEL KPL. LL LCI A.F.,,0390_0390,,,IT Oben und IT Unten zusammen auf der Messaufnahme montiert,,,
,,,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
C, 500-599,Heckend,,,,,,,,,
,,,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
C, 600-699,Türen,,,,,,,,,
,,,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
C, 700-799,noch zu haben,,,,,,,,,
,,,,,,,,,,,
C,800-999,Umfang CFK,GEHAEUSE OT LI SP56 B,,880_880,7,3 / H8,"Geometrie + Wandstärke
Achtung: Ohne Messaufnahme / Sonderaufbau (s. Spannplan)",2772492,C,
C,800-999,Umfang CFK,,,,,,,,,
C,800-999,Umfang CFK,GEHAEUSE OT RE SP56 B,,890_890,7,3 / H8,"Geometrie + Wandstärke
Achtung: Ohne Messaufnahme / Sonderaufbau (s. Spannplan)",2772493,C,
C,800-999,Umfang CFK,,,,,,,,,
C,800-999,Umfang CFK,,,,,,,,,
C,800-999,Umfang CFK,,,,,,,,,
C,800-999,Umfang CFK,,,,,,,,,
C,800-999,Umfang CFK,,,,,,,,,
C,800-999,Umfang CFK,,,,,,,,,
C,800-999,Umfang CFK,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
A,1000-1199,Instrumententafel,ZB TRAEGER I-TAFEL OBEN LL ,,1070,10,,OP1 Schweissung (ZB Traeger IT oben mit Airbagschusskanal) Analysemessprgramm,MT40092,,
A,1000-1199,Instrumententafel,,,,,,,,,
A,1000-1199,Instrumententafel,,,,,,,,,
A,1000-1199,Instrumententafel,,,,,,,,,
A,1000-1199,Instrumententafel,,,,,,,,,
A,1000-1199,Instrumententafel,,,,,,,,,
A,1000-1199,Instrumententafel,,,,,,,,,
A,1000-1199,Instrumententafel,,,,,,,,,
A,1000-1199,Instrumententafel,,,,,,,,,
A,1000-1199,Instrumententafel,,,,,,,,,
,,,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
A,1200-1299,Handschuhkasten,,,,,,,,,
,,,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
A,1300-1399,Mittelkonsole,,,,,,,,,
,,,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
A, 1400-1499,Frontend,,,,,,,,,
,,,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
A, 1500-1599,Heckend,,,,,,,,,
,,,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
A, 1600 - 1699,Türen,,,,,,,,,
,,,,,,,,,,,
A,2000-2099,Werkzeug,SGW_G70_EINLEGER_IT_oben_LL,,2000,,GOM,Airbagschwächung (SPIAS),3010833,X,X
A,2000-2099,Werkzeug,SGW_Spias EINLEGER OBEN LL / G70 LCI LL,,2001,,GOM,Spias - Bleche,3052186,X,X
A,2000-2099,Werkzeug,SG-WZ_SCHUSSKANAL_LL,,2010,,GOM,Netzschwert und Netzpositionierung,3010871,X,X
A,2000-2099,Werkzeug,,,,,,,,,
A,2000-2099,Werkzeug,,,,,,,,,
A,2000-2099,Werkzeug,,,,,,,,,
A,2000-2099,Werkzeug,,,,,,,,,
A,2000-2099,Werkzeug,,,,,,,,,
A,2000-2099,Werkzeug,,,,,,,,,
A,2000-2099,Werkzeug,,,,,,,,,
